task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	c7/1e0bbb	1994322	SCREENING:RESIDUE_SELECTION (3HS4.pdb)	COMPLETED	0	2026-06-04 12:26:36.451	459ms	30ms	106.7%	13.9 MB	18.8 MB	1.2 MB	362 B
2	03/2fa641	1994625	SCREENING:PYROSETTA_SCREENING (3HS4.pdb)	COMPLETED	0	2026-06-04 12:26:36.931	12.3s	11.9s	121.9%	789.2 MB	2.2 GB	31.7 MB	200 KB
3	54/362489	1995486	SCREENING:DDG_FILTER (filter_ddg)	COMPLETED	0	2026-06-04 12:26:49.215	530ms	25ms	124.3%	13.9 MB	18.9 MB	863.9 KB	13.9 KB
4	88/f80f6f	1995478	SCREENING:BIOPHYSICAL_FILTER (biophysical_filter)	COMPLETED	0	2026-06-04 12:26:49.212	678ms	86ms	107.0%	12.5 MB	43.8 MB	1.7 MB	26.5 KB
5	a7/8488b1	1995989	SCREENING:RANK_SCREENING (rank_screening)	COMPLETED	0	2026-06-04 12:26:49.900	459ms	26ms	124.3%	14.2 MB	18.9 MB	869.5 KB	28.1 KB
7	0c/275f59	1996209	SCREENING:MERGE_SCREENING_RESULTS (merge_screening_results)	COMPLETED	0	2026-06-04 12:26:50.369	560ms	25ms	121.9%	13.8 MB	18.9 MB	868.8 KB	30.7 KB
6	29/4001c3	1996216	SCREENING:SCREENING_PLOTS (screening_plots)	COMPLETED	0	2026-06-04 12:26:50.372	1.5s	981ms	99.1%	14.4 MB	20.7 MB	42.1 MB	350.2 KB
8	b1/a3f19a	1996645	SCREENING:SCREENING_REPORT (screening_report)	FAILED	1	2026-06-04 12:26:51.839	436ms	349ms	-	-	-	-	-
