task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	98/7c79e2	1981757	SCREENING:RESIDUE_SELECTION (3HS4.pdb)	CACHED	0	2026-06-04 12:08:11.538	482ms	28ms	83.5%	13.8 MB	18.8 MB	1.2 MB	361 B
2	90/5fa1ce	1982056	SCREENING:PYROSETTA_SCREENING (3HS4.pdb)	CACHED	0	2026-06-04 12:08:12.041	12.1s	11.7s	122.4%	788.7 MB	2.2 GB	31.7 MB	200 KB
3	ff/2a037b	1982902	SCREENING:BIOPHYSICAL_FILTER (biophysical_filter)	CACHED	0	2026-06-04 12:08:24.172	679ms	94ms	99.1%	12.6 MB	43.8 MB	1.7 MB	26.5 KB
4	11/b77b5f	1982909	SCREENING:DDG_FILTER (filter_ddg)	CACHED	0	2026-06-04 12:08:24.175	532ms	27ms	117.4%	13.8 MB	18.9 MB	863.9 KB	13.9 KB
5	a3/4b71da	1983405	SCREENING:RANK_SCREENING (rank_screening)	CACHED	0	2026-06-04 12:08:24.860	419ms	23ms	99.0%	14.1 MB	18.8 MB	869.5 KB	28.1 KB
7	27/c4d5cf	1983632	SCREENING:MERGE_SCREENING_RESULTS (merge_screening_results)	CACHED	0	2026-06-04 12:08:25.291	525ms	26ms	123.1%	13.7 MB	18.9 MB	868.8 KB	30.7 KB
6	f4/986ce4	1983625	SCREENING:SCREENING_PLOTS (screening_plots)	CACHED	0	2026-06-04 12:08:25.288	1.4s	963ms	100.2%	14.7 MB	20.9 MB	42.1 MB	350.2 KB
8	d1/901987	1984059	SCREENING:SCREENING_REPORT (screening_report)	CACHED	0	2026-06-04 12:08:26.727	462ms	38ms	91.4%	13.8 MB	19.6 MB	1.7 MB	756.1 KB
