task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	30/cc2311	1986850	SCREENING:RESIDUE_SELECTION (3HS4.pdb)	COMPLETED	0	2026-06-04 12:13:54.894	446ms	26ms	94.1%	14.1 MB	18.8 MB	1.2 MB	361 B
2	0f/5ae263	1987154	SCREENING:PYROSETTA_SCREENING (3HS4.pdb)	COMPLETED	0	2026-06-04 12:13:55.364	12.3s	11.9s	122.0%	790.3 MB	2.2 GB	31.7 MB	200 KB
4	b0/41cd37	1988010	SCREENING:DDG_FILTER (filter_ddg)	COMPLETED	0	2026-06-04 12:14:07.641	504ms	24ms	129.3%	3.4 MB	4.4 MB	863.9 KB	13.9 KB
3	17/85ba83	1988017	SCREENING:BIOPHYSICAL_FILTER (biophysical_filter)	COMPLETED	0	2026-06-04 12:14:07.645	675ms	83ms	110.0%	12.7 MB	43.8 MB	1.7 MB	26.5 KB
5	01/975a86	1988516	SCREENING:RANK_SCREENING (rank_screening)	COMPLETED	0	2026-06-04 12:14:08.330	449ms	25ms	92.3%	13.9 MB	18.6 MB	869.5 KB	28.1 KB
7	da/22ceaa	1988735	SCREENING:MERGE_SCREENING_RESULTS (merge_screening_results)	COMPLETED	0	2026-06-04 12:14:08.787	610ms	27ms	114.3%	14 MB	18.9 MB	868.8 KB	30.7 KB
6	dd/237906	1988742	SCREENING:SCREENING_PLOTS (screening_plots)	COMPLETED	0	2026-06-04 12:14:08.790	1.4s	990ms	99.2%	14.8 MB	20.9 MB	42.1 MB	350.2 KB
8	db/d82179	1989173	SCREENING:SCREENING_REPORT (screening_report)	COMPLETED	0	2026-06-04 12:14:10.252	468ms	44ms	100.6%	14 MB	19.6 MB	1.7 MB	756.1 KB
