task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	95/b856c0	2002985	SCREENING:RESIDUE_SELECTION (3HS4.pdb)	CACHED	0	2026-06-04 12:41:12.176	451ms	29ms	111.3%	14.3 MB	18.8 MB	1.2 MB	362 B
2	c9/0ff87a	2003291	SCREENING:PYROSETTA_SCREENING (3HS4.pdb)	CACHED	0	2026-06-04 12:41:12.649	12.1s	11.7s	122.2%	789.9 MB	2.2 GB	31.7 MB	200 KB
4	95/e8411a	2004145	SCREENING:BIOPHYSICAL_FILTER (biophysical_filter)	CACHED	0	2026-06-04 12:41:24.779	686ms	86ms	97.0%	13.2 MB	46.2 MB	1.7 MB	26.5 KB
3	a7/b8b8e8	2004138	SCREENING:DDG_FILTER (filter_ddg)	CACHED	0	2026-06-04 12:41:24.776	513ms	27ms	119.6%	13.9 MB	18.8 MB	863.9 KB	13.9 KB
5	c5/0dc520	2004656	SCREENING:RANK_SCREENING (rank_screening)	CACHED	0	2026-06-04 12:41:25.475	423ms	24ms	126.7%	14.3 MB	18.9 MB	869.5 KB	28.1 KB
6	8d/21c09f	2004883	SCREENING:MERGE_SCREENING_RESULTS (merge_screening_results)	CACHED	0	2026-06-04 12:41:25.911	513ms	26ms	117.4%	13.9 MB	18.9 MB	868.8 KB	30.7 KB
7	3a/0cc909	2004876	SCREENING:SCREENING_PLOTS (screening_plots)	CACHED	0	2026-06-04 12:41:25.908	1.5s	1s	99.4%	14.7 MB	20.9 MB	42.1 MB	350.2 KB
8	3d/f4ab6c	2005342	SCREENING:SCREENING_REPORT (screening_report)	CACHED	0	2026-06-04 12:41:27.406	437ms	37ms	92.1%	14.1 MB	19.6 MB	1.7 MB	766.3 KB
