task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	d8/2413e9	2010311	SCREENING:RESIDUE_SELECTION (3HS4.pdb)	COMPLETED	0	2026-06-04 12:52:33.535	454ms	28ms	113.3%	13.7 MB	18.8 MB	1.2 MB	362 B
2	30/6b1b35	2010611	SCREENING:PYROSETTA_SCREENING (3HS4.pdb)	COMPLETED	0	2026-06-04 12:52:34.008	12.1s	11.7s	122.4%	789.9 MB	2.2 GB	31.7 MB	200 KB
4	8f/af1a26	2011469	SCREENING:DDG_FILTER (filter_ddg)	COMPLETED	0	2026-06-04 12:52:46.098	523ms	27ms	117.4%	13.7 MB	18.8 MB	863.9 KB	13.9 KB
3	86/9b19f2	2011461	SCREENING:BIOPHYSICAL_FILTER (biophysical_filter)	COMPLETED	0	2026-06-04 12:52:46.095	668ms	88ms	94.7%	12.2 MB	43.3 MB	1.7 MB	26.5 KB
5	9f/34e651	2011974	SCREENING:RANK_SCREENING (rank_screening)	COMPLETED	0	2026-06-04 12:52:46.771	439ms	23ms	130.6%	14.1 MB	18.9 MB	869.5 KB	28.1 KB
7	77/5c2b57	2012197	SCREENING:MERGE_SCREENING_RESULTS (merge_screening_results)	COMPLETED	0	2026-06-04 12:52:47.224	553ms	27ms	116.4%	14 MB	18.9 MB	868.8 KB	30.7 KB
6	6a/798ead	2012190	SCREENING:SCREENING_PLOTS (screening_plots)	COMPLETED	0	2026-06-04 12:52:47.220	1.5s	1s	100.3%	14.8 MB	20.9 MB	42.1 MB	350.2 KB
8	61/b274b2	2012634	SCREENING:SCREENING_REPORT (screening_report)	COMPLETED	0	2026-06-04 12:52:48.710	459ms	36ms	94.8%	13.9 MB	19.7 MB	1.7 MB	768 KB
